When was the sale date?,What was the Order ID?,Customer ID,How many items in order?,When did the item ship out?,What was the shipping city?,What was the shipping state?,What was the shipping country?,What was the order value?,What was the discount amount?,what was shipping charge?,What was the order total?,What is the card processing fees?,What was the shipping zipcode?,What was order net?,What was the coupon code?
10/18/23,3054578090,gggy1we85e2y6es3,1,10/26/23,RANCHO CORDOVA,CA,United States,7,0.7,3.49,10.34,0.56,95670-7910,9.23,OCTSALE
10/18/23,3054235550,aimskeee,1,10/22/23,Carson,CA,United States,15,1.5,3,17.88,0.79,90745,15.71,OCTSALE
10/17/23,3053671474,,1,10/26/23,Rockaway,NJ,United States,7,0.7,3.49,10.44,0.56,07866-4820,9.23,OCTSALE
10/17/23,3046192245,cheryljones238,1,10/18/23,Harvey,LA,United States,8,0.8,0,7.2,0.47,70058,6.73,OCTSALE
10/17/23,3053423706,rbiidxxt,1,10/26/23,Tuscaloosa,AL,United States,7,0.7,3.49,10.29,0.56,35401,9.23,OCTSALE
10/17/23,3053332266,8tq26p2rh0g84lu2,1,10/26/23,Hereford,TX,United States,7,0.7,3.49,10.6,0.57,79045,9.22,OCTSALE
10/17/23,3045925575,svertss,1,10/26/23,Fresh Meadows,NY,United States,7,0.7,3.49,10.66,0.57,11365,9.22,OCTSALE
10/17/23,3045850959,bhhxzaika2syxgb6,1,10/22/23,SAINT AUGUSTINE,FL,United States,15,1.5,3,16.5,0.75,32092,15.75,OCTSALE
10/17/23,3045772355,HBaggiore,1,10/26/23,ROSCOE,IL,United States,7,0.7,3.49,10.55,0.57,61073,9.22,OCTSALE
10/16/23,3045217255,phjvev66y0bz3o5d,1,10/16/23,Glenside,PA,United States,8,0.8,0,7.2,0.47,19038,6.73,OCTSALE
10/16/23,3045140921,,1,10/17/23,KISSIMMEE,FL,United States,26,2.6,0,25.16,1,34744,22.4,OCTSALE
10/16/23,3045045805,7x6mvwks,2,,Bielefeld,,Germany,13,1.3,3.5,18.09,0.79,33613,14.41,OCTSALE
10/16/23,3044942611,bo52lmj6,1,10/18/23,Youngsville,NC,United States,6,0.6,0,5.4,0.41,27596,4.99,OCTSALE
10/15/23,3044369969,4re8lkq3hukktkhf,1,10/24/23,WAKEFIELD,MA,United States,7,0.7,3.49,10.18,0.56,1880,9.23,OCTSALE
10/15/23,3051515894,,1,10/18/23,Middletown,NY,United States,15,1.5,3,17.18,0.77,10940,15.73,OCTSALE
10/15/23,3043777285,ifpy860pdyjh3t7k,1,10/18/23,PHILADELPHIA,PA,United States,7,0.7,3.49,10.38,0.56,19128,9.23,OCTSALE
10/14/23,3050343170,gt28mzck7qwskae8,1,10/18/23,OAK HILL,WV,United States,7,0.7,3.49,10.48,0.56,25901,9.23,OCTSALE
10/14/23,3043079015,joineshillary,1,10/18/23,Vero Beach,FL,United States,7,0.7,3.49,10.48,0.56,32967,9.23,OCTSALE
10/14/23,3049957006,fcj3ys8n,1,10/17/23,Fremont,CA,United States,21,2.1,0,20.84,0.88,94536,18.02,OCTSALE
